Zip,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
13413,7256,22.3,7.8,15.1,22.9
13415,32,0,0,75,75
13416,1059,4.5,0.3,34.6,34.9
13417,1911,22.6,5.9,42.3,48.2
13418,100,0,3,40,43
13420,2921,7.9,7.9,26.4,34.3
13421,6251,10.2,4.5,50.8,55.3
13424,1036,12.6,4.3,38.3,42.6
13425,967,5.9,0,48,48
13428,744,5.2,3.8,28.8,32.6
13431,803,6.4,4.9,29.5,34.4
13433,822,5.8,6.8,36.9,43.7
13435,136,1.5,0.7,81.6,82.3
13436,586,11.9,4.1,22,26.1
13437,702,8.3,3.7,16.1,19.8
13438,2118,8.9,2.7,26.5,29.2
13439,2433,3.3,4.4,48.5,52.9
13440,19029,21.4,10.1,31.2,41.3
13441,18,0,0,0,0
13450,53,0,0,24.5,24.5
13452,2113,7.1,6.6,41.3,47.9
13454,436,5,0.9,31,31.9
13456,1735,10.4,3,25,28
13459,1150,7.7,2.6,44.1,46.7
13460,2032,6.5,0.8,34,34.8
13461,1277,17.1,7.8,41.2,49
13464,655,4.4,3.2,36.6,39.8
13468,194,0,6.7,41.2,47.9
13469,364,22.5,0,39.8,39.8
13470,686,4.1,6.4,23.5,29.9
13471,1466,10,2.7,12.4,15.1
13472,293,9.9,0,14.7,14.7
13473,427,4.7,1.6,40.7,42.3
13475,20,0,35,50,85
13476,1445,6,2.4,30.8,33.2
13477,728,1.5,0,29.8,29.8
13478,1248,17.7,5.1,17.7,22.8
13480,1559,5.9,5.1,52.9,58
13483,110,2.7,0,31.8,31.8
13484,79,0,0,83.5,83.5
13485,539,3,2.2,27.6,29.8
13486,379,10,3.2,37.2,40.4
13488,100,0,0,31,31
13489,351,10,0.9,26.5,27.4
13490,666,2.1,1.1,26.7,27.8
13491,1571,3.8,4.5,36,40.5
13492,5434,26.2,5.4,19.2,24.6
13493,892,3.8,1.9,13.2,15.1
13494,581,9.1,14.8,25.8,40.6
13495,905,23.8,18.7,40.4,59.1
13501,17137,12.3,7.1,59.6,66.7
13502,14789,18.1,7.4,42.6,50
13601,17783,8.8,5.1,44.6,49.7
13602,123,0,21.1,0,21.1
13603,3516,0.9,0.1,4.4,4.5
13605,2232,5.2,4.1,38.5,42.6
13606,1162,6.3,0,31.5,31.5
13607,1703,7.1,5.3,40.5,45.8
13608,635,4.4,3.3,48.2,51.5
13612,1080,6.5,3.2,26,29.2
13613,1204,16.6,8.8,20.8,29.6
13614,122,0,7.4,18,25.4
13615,498,2.4,1.6,64.7,66.3
13616,877,3.1,3.4,13,16.4
13617,3959,6,3.5,40.5,44
13618,2371,4.3,4.1,20.4,24.5
13619,4826,4.2,3.5,36.9,40.4
13620,823,6.8,3.2,39.4,42.6
13621,289,12.1,0,15.2,15.2
13622,1391,9.3,3.3,31.5,34.8
13623,61,27.9,8.2,34.4,42.6
13624,3913,7.5,3.5,35.4,38.9
13625,1108,10,3.8,24.5,28.3
13626,1324,2.6,2,30.2,32.2
13628,86,3.5,12.8,72.1,84.9
13630,607,7.7,0,42.7,42.7
13633,185,3.8,2.7,41.6,44.3
13634,2342,7.4,4,29.9,33.9
13635,541,5.7,5.4,37.5,42.9
13636,131,3.1,0,74.8,74.8
13637,1892,2,4.2,12.1,16.3
13638,162,29.6,10.5,27.2,37.7
13639,150,3.3,8,32.7,40.7
13640,989,5.3,3.3,18.6,21.9
13641,267,7.1,0,13.5,13.5
13642,4262,7.9,3,38.5,41.5
13646,2812,9.2,6.7,30.3,37
13647,39,0,0,0,0
13648,1715,6.2,5.6,30.6,36.2
13650,1563,7.8,3.8,26.8,30.6
13651,181,5.5,5,37.6,42.6
13652,933,6.2,3.5,34.1,37.6
13654,1165,3.8,2.7,36,38.7
13655,1280,5.4,0,9,9
13656,1118,4.9,0.4,35,35.4
13658,977,6.1,4.4,37.5,41.9
13659,399,4,2,23.8,25.8
13660,704,6,0,43.5,43.5
13661,1058,9.2,1.9,27,28.9
13662,7877,26.4,14.6,19,33.6
13664,234,3,9.4,46.6,56
13665,436,2.3,6.2,38.8,45
13666,200,27.5,11,32.5,43.5
13667,1262,4.5,3.6,37,40.6
13668,1697,14.3,1.9,35.9,37.8
13669,7504,11.9,4.4,42,46.4
13670,373,11.5,9.1,33,42.1
13672,722,8.6,4,34.5,38.5
13673,988,0.8,1.8,32,33.8
13674,68,13.2,0,76.5,76.5
13675,95,22.1,0,48.4,48.4
13676,5901,14.2,2.3,28,30.3
13677,25,0,0,100,100
13678,96,22.9,8.3,30.2,38.5
13679,1665,5,3.1,27.5,30.6
13680,602,4,1.3,51.8,53.1
13681,346,7.5,3.8,41.6,45.4
13682,404,2.5,1.7,37.6,39.3
13684,723,5.4,3.9,14.9,18.8
13685,1473,5.6,6.4,25.7,32.1
13687,701,7.1,4.9,18.5,23.4
13690,516,15.5,9.7,31.4,41.1
13691,1732,4.7,3.2,30.7,33.9
13692,361,1.4,3.9,73.1,77
13693,1121,7.4,4.3,23.3,27.6
13694,717,9.9,3.6,31.7,35.3
13695,226,14.2,17.3,35.4,52.7
13696,81,0,0,100,100
13697,1007,7.2,7.3,22.9,30.2
13730,1577,6.3,4.6,24.9,29.5
13731,1285,4.4,3.3,19.8,23.1
13732,3112,15.4,2.5,10.7,13.2
13733,2638,6.9,2.4,32.9,35.3
13734,1014,10.9,10.7,26.7,37.4
13736,988,4.1,0.3,29.9,30.2
13739,643,2.5,1.6,24.3,25.9
13740,528,1.1,0,30.7,30.7
13743,1591,3.8,0.7,25.3,26
13744,546,4.6,3.1,15.8,18.9
13746,975,7.6,5.5,24.6,30.1
13748,1425,10.7,9.3,15.2,24.5
13750,641,3.1,2.2,23.1,25.3
13751,50,0,20,20,40
13752,703,3.8,1.3,35.6,36.9
13753,2206,5.1,5,35,40
13754,2301,7.7,5.3,34.6,39.9
13755,946,5.2,9.9,26.3,36.2
13756,535,14.6,5.4,18.1,23.5
13757,679,1.6,1.5,18.6,20.1
13760,21464,18.9,11.2,24.8,36
13774,146,17.8,23.3,30.1,53.4
13775,1036,1.8,3.5,47.5,51
13776,263,1.9,0,70,70
13777,199,1.5,4.5,12.1,16.6
13778,2748,9,3.1,35.4,38.5
13780,548,0,1.8,44.7,46.5
13782,496,4,1.6,34.5,36.1
13783,2211,6.6,5.9,33.6,39.5
13784,57,0,0,49.1,49.1
13786,344,2.9,1.2,24.1,25.3
13787,1949,5.6,6.9,22.8,29.7
13788,674,6.5,1.5,33.5,35
13790,8734,13.4,14.1,38.5,52.6
13794,32,0,18.8,43.8,62.6
13795,1577,26.1,7.4,11.8,19.2
13796,743,3.1,0.5,28,28.5
13797,832,2,1.8,26,27.8
13801,1116,4.8,3.7,29.1,32.8
13802,291,15.8,8.2,23,31.2
13803,1773,3.9,4.3,42.5,46.8
13804,226,0,1.3,39.4,40.7
13806,159,6.3,1.9,45.9,47.8
13807,723,2.4,5.5,40.9,46.4
13808,806,3.2,1.7,56,57.7
13809,856,6.1,0,37.7,37.7
13810,682,3.8,2.8,45.5,48.3
13811,1947,7.3,2.1,29.1,31.2
13812,1086,9.9,7.9,34.4,42.3
13813,358,12.8,0,29.3,29.3
13815,6379,11.4,4,38.5,42.5
13820,8829,8.1,7.1,42.4,49.5
13825,1650,3.9,2.1,24.9,27
13826,96,44.8,0,0,0
13827,5586,8.4,2.5,36.6,39.1
13830,2788,4.9,2,36.2,38.2
13832,350,9.7,0,25.1,25.1
13833,1888,8.4,8.8,20.3,29.1
13834,88,0,38.6,45.5,84.1
13835,666,2.4,2.6,22.5,25.1
13838,2301,19.9,12.6,33,45.6
13839,731,8.2,7.1,21.8,28.9
13841,324,3.7,3.7,45.7,49.4
13842,360,0,4.4,25.6,30
13843,1168,4.6,5,43.1,48.1
13844,326,13.8,5.5,18.7,24.2
13846,211,6.6,0,74.9,74.9
13847,63,9.5,0,14.3,14.3
13849,2238,8.3,2.8,30.5,33.3
13850,9624,20.9,7,12.2,19.2
13856,3878,10.7,2.7,31.4,34.1
13859,114,0,0,45.6,45.6
13860,26,23.1,0,76.9,76.9
13861,116,7.8,0,24.1,24.1
13862,1891,6.1,6.8,30.5,37.3
13863,324,2.8,9.6,34,43.6
13864,578,9,2.8,22.7,25.5
13865,2884,13.4,2.6,19.8,22.4
13901,9540,17.9,9.4,32.4,41.8
13902,8,0,0,0,0
13903,8697,14.9,11.2,33.5,44.7
13904,4196,13.6,13.3,39.9,53.2
13905,13373,11.1,12.5,46.2,58.7
14001,4333,9.2,3.2,27.5,30.7
14004,4264,14.2,2.5,23.6,26.1
14005,714,7.1,4.6,40.1,44.7
14006,5207,22.5,12.7,30.8,43.5
14008,653,1.8,8.9,59.6,68.5
14009,2621,7.9,3.1,32.4,35.5
14011,2753,11.5,5.2,46.3,51.5
14012,1066,10,3.4,52,55.4
14013,760,9.6,3.6,40.5,44.1
14020,10360,11.6,6.7,39.6,46.3
14024,864,4.1,3.2,35,38.2
14025,1439,14.3,3.9,17.4,21.3
14026,350,30,0,14.3,14.3
14028,840,23.3,2.5,39.6,42.1
14030,726,11.7,3.6,30.7,34.3
14031,4179,14.5,4.2,12.5,16.7
14032,3123,5.4,2,12.7,14.7
14033,1060,15.6,8,18.3,26.3
14034,828,14.6,11.1,39,50.1
14035,33,0,0,100,100
14036,2358,5.2,6.7,36.7,43.4
14037,427,19.2,2.3,37.2,39.5
14039,52,23.1,0,65.4,65.4
14040,879,10.8,5.2,30.4,35.6
14041,116,0,0.9,75,75.9
14042,1982,7.8,3.3,20.3,23.6
14043,11558,19.9,5.4,12.5,17.9
14047,2862,17.6,4.9,15.8,20.7
14048,7119,18.1,11.8,48.7,60.5
14051,7879,3.9,1.8,4.6,6.4
14052,7158,15.3,5.6,32.4,38
14054,602,13,4.8,38,42.8
14055,604,7.3,0,17.1,17.1
14057,3466,17.7,8.3,26.9,35.2
14058,848,15.1,6.5,37.7,44.2
14059,4279,12.2,4.5,17.4,21.9
14060,270,6.7,1.9,37.8,39.7
14061,153,11.8,4.6,69.9,74.5
14062,1528,7.7,2.2,31.8,34
14063,6127,11.9,7.1,41.9,49
14065,864,6.8,5.8,22,27.8
14066,595,1.5,4.7,40.7,45.4
14067,2261,10.7,8.5,41.4,49.9
14068,2923,6.1,1.6,4.5,6.1
14069,438,5.5,2.3,23.3,25.6
14070,2449,13.4,8.8,45.5,54.3
14072,8541,20.5,3.9,5.7,9.6
14075,18647,17,7.1,13.9,21
14080,1806,12.4,6.9,26.6,33.5
14081,1649,12.9,11.3,22.4,33.7
14082,216,10.2,12,31.5,43.5
14085,2765,16.8,4,12.2,16.2
14086,13537,10.8,4.7,17,21.7
14091,488,4.5,2.7,29.9,32.6
14092,5211,29.2,10,15.7,25.7
14094,22914,10.5,5.2,34,39.2
14098,1663,13.2,4.9,42.8,47.7
14101,1031,5.3,7.7,26.9,34.6
14102,467,9.9,0,38.5,38.5
14103,4930,9.7,5.6,50.4,56
14105,1874,11.5,2.1,50.6,52.7
14108,2453,11.9,2.4,32.3,34.7
14111,1416,16.2,3,41.2,44.2
14113,356,11,3.4,46.3,49.7
14120,20205,21.2,9.6,24,33.6
14125,1474,6.5,6.3,53.9,60.2
14126,406,10.3,0,50.5,50.5
14127,12742,17.1,5.1,9,14.1
14129,667,14.4,4.2,38.7,42.9
14130,79,8.9,5.1,55.7,60.8
14131,2169,13.3,7.4,33.4,40.8
14132,2613,15.1,4.7,30.9,35.6
14134,45,22.2,11.1,35.6,46.7
14135,59,0,15.3,67.8,83.1
14136,2500,13.8,8.8,46.2,55
14138,921,5.8,3.6,49.5,53.1
14139,1093,8.8,4.3,42.2,46.5
14141,3463,11.9,6.7,35.5,42.2
14143,571,13.8,7.4,32.4,39.8
14145,697,8,0,30.8,30.8
14150,20037,43.6,9,19.3,28.3
14167,814,8.4,3.4,27.5,30.9
14168,13,0,0,100,100
14169,67,0,0,10.4,10.4
14170,1087,20.7,5.3,33.9,39.2
14171,1061,6.7,1.7,28.3,30
14172,1560,11.5,4.4,51,55.4
14173,164,23.2,5.5,47,52.5
14174,2720,22.7,4.2,18.9,23.1
14201,6442,3.2,7.6,62.7,70.3
14202,2228,22.9,7.4,30.7,38.1
14203,1129,9.6,2.6,46.1,48.7
14204,5358,10.3,8.2,42.7,50.9
14206,10388,21.5,12.4,51.4,63.8
14207,11014,13.4,11.4,60.5,71.9
14208,5664,6.5,8.5,68.5,77
14209,4733,4.8,7,60.5,67.5
14210,7124,12.2,14.8,63.4,78.2
14211,12130,11.7,13.7,59.5,73.2
14212,6156,13.1,10.3,62.1,72.4
14213,11170,2.4,7.3,79.9,87.2
14214,9103,8.9,7.5,69.1,76.6
14215,18856,11,12.7,66.7,79.4
14216,11559,17.3,12.1,58,70.1
14217,11537,20.9,18.3,43.6,61.9
14218,8963,20.7,16.1,33.5,49.6
14219,5637,24.1,10.5,18.9,29.4
14220,10801,21,16.3,54,70.3
14221,23904,15.6,5.2,9,14.2
14222,7915,5.3,7.3,75.6,82.9
14223,10459,46.8,21.8,13.4,35.2
14224,18660,20.7,5.9,11.2,17.1
14225,16348,38.1,18.6,9.8,28.4
14226,13143,36.5,17.9,20.5,38.4
14227,11056,10.8,2.8,5.1,7.9
14228,9923,5.2,1.1,5.2,6.3
14261,8,0,0,0,0
14301,7387,15.2,15,61,76
14302,56,66.1,0,0,0
14303,3492,10.9,15.8,62.8,78.6
14304,13881,28.8,11.6,17,28.6
14305,8256,16.7,14.9,46.4,61.3
14411,5543,6.2,2.9,50.2,53.1
14414,3094,11.9,0.8,26,26.8
14415,93,5.4,0,52.7,52.7
14416,1470,5.9,1.6,34.8,36.4
14418,858,0,2.7,34.1,36.8
14420,7623,8.7,3.6,20.4,24
14422,996,9,1.9,35.9,37.8
14423,2010,8.9,3,33.9,36.9
14424,13542,5.8,2.7,27.6,30.3
14425,4806,1,0.2,4.7,4.9
14427,1004,8.8,7.1,45.7,52.8
14428,3292,7.4,1.8,18.6,20.4
14432,2453,1.6,1.4,46.8,48.2
14433,1751,8.4,7.5,46.6,54.1
14435,1728,10.6,4,24.4,28.4
14437,4630,8.7,4.6,37,41.6
14441,229,17.9,4.4,52.8,57.2
14445,3596,18.5,8.7,36.7,45.4
14450,17742,6,2.9,8.5,11.4
14454,3816,9.4,3.4,21,24.4
14456,8697,10.5,5,48.6,53.6
14462,230,0,9.1,42.2,51.3
14464,3033,2.1,1.1,21.9,23
14466,829,1.7,1.7,39.1,40.8
14467,4252,8.7,0,5,5
14468,7139,7.1,2.2,23.6,25.8
14469,2720,3.9,2.2,32.9,35.1
14470,3435,7.3,3.3,39.2,42.5
14471,1963,25,9.7,22.7,32.4
14472,3359,9.9,2.7,31.4,34.1
14475,126,0,0,14.3,14.3
14476,1005,7.1,2,36.5,38.5
14477,770,4.5,1.2,39.6,40.8
14478,650,13.2,6.5,16.8,23.3
14479,118,0,0,66.1,66.1
14480,360,3.3,7.5,53.9,61.4
14481,905,3.8,0.4,32.8,33.2
14482,3774,9.6,3,41.2,44.2
14485,1824,3.6,0,24.3,24.3
14486,158,0,0,47.5,47.5
14487,2646,5.6,2.9,45.9,48.8
14489,3064,6,7.2,49.5,56.7
14502,4399,5.6,1.3,17.1,18.4
14504,813,8,4.3,39.7,44
14505,2133,6,5.2,24.7,29.9
14506,591,0,0,12.2,12.2
14507,902,3.5,5.2,26.1,31.3
14510,2042,9.2,2.3,51,53.3
14511,221,0,10,51.1,61.1
14512,2725,2.9,1.8,33.8,35.6
14513,6276,9.4,9.2,35.8,45
14514,2728,7.2,3.5,7.7,11.2
14516,1130,3.4,7.1,36.5,43.6
14517,1331,3.1,2.4,52.4,54.8
14519,5242,8.8,1.9,18.4,20.3
14521,1240,9.4,6.2,40.1,46.3
14522,4203,9.9,8.1,27.6,35.7
14525,1027,4.9,4.2,32.6,36.8
14526,8589,11.4,3.3,5.8,9.1
14527,7002,8.9,4.2,40.1,44.3
14529,47,0,0,48.9,48.9
14530,2732,5.9,8.2,58,66.2
14532,1897,8.3,2.2,47.2,49.4
14533,764,8.2,1.2,51.3,52.5
14534,12649,9.2,2.8,7.9,10.7
14536,290,5.2,5.9,49,54.9
14537,55,16.4,0,56.4,56.4
14539,59,0,15.3,40.7,56
14541,1315,11.8,13.6,23,36.6
14542,20,0,0,75,75
14543,1273,18.8,3.1,18.9,22
14544,1263,5.9,2.1,32.5,34.6
14545,91,22,3.3,47.3,50.6
14546,2028,17.7,0.7,19.4,20.1
14548,1740,3.3,1.6,34.9,36.5
14549,39,0,41,12.8,53.8
14550,902,4,3.9,49.8,53.7
14551,2404,8.6,3.5,43.6,47.1
14555,1030,12.5,8.5,40.3,48.8
14559,7011,13.8,2.2,16.5,18.7
14560,1139,7.3,3.3,30.1,33.4
14561,1223,6.1,5.8,54.6,60.4
14564,6121,2.9,1.1,12.8,13.9
14568,2273,5.6,1.5,19.2,20.7
14569,2929,8.6,5.4,46.3,51.7
14571,745,17.9,4.3,45.5,49.8
14572,2609,4.6,4.1,36.9,41
14580,21906,12.1,3,8,11
14585,65,0,0,0,0
14586,4304,2.7,1,5.1,6.1
14588,64,0,0,50,50
14589,3363,6.2,5.7,32.8,38.5
14590,3251,11.5,10.1,31.3,41.4
14591,724,3.6,3.2,46.1,49.3
14592,111,0,35.1,44.1,79.2
14604,1905,13.1,1.7,42.5,44.2
14605,5449,9.1,8,37.1,45.1
14606,12398,10.9,5.6,27.5,33.1
14607,10303,8.8,7.8,60.3,68.1
14608,6229,4.6,6.2,46.7,52.9
14609,19648,18.4,13.4,43.9,57.3
14610,7494,24.3,11.4,33.8,45.2
14611,8085,7.2,11.4,56.8,68.2
14612,15890,11.7,5.1,17.5,22.6
14613,6103,2.5,10.3,68.8,79.1
14614,87,0,0,57.5,57.5
14615,7800,12.7,11.4,32.7,44.1
14616,12893,27.8,13,13.8,26.8
14617,10123,26.7,13.9,27.6,41.5
14618,8795,20.5,10.6,22.8,33.4
14619,6143,7.5,11.7,63.5,75.2
14620,12386,8,9.8,47.5,57.3
14621,14724,11.7,8.4,43,51.4
14622,5855,27.6,14.6,24.6,39.2
14623,9429,22.2,3.5,5.2,8.7
14624,14689,14.1,6.1,6.3,12.4
14625,4684,18.1,5.5,9.8,15.3
14626,13569,15.3,3.9,3.9,7.8
14701,19601,15.1,8.7,50.5,59.2
14706,2973,13,4.7,22.4,27.1
14707,139,0,2.9,50.4,53.3
14708,153,3.3,1.3,35.3,36.6
14709,1025,3,1.8,36.4,38.2
14710,2108,14,7.6,30.6,38.2
14711,1037,7.4,0.9,33.1,34
14712,2332,11.4,11.2,24.4,35.6
14714,342,7.3,0.6,23.4,24
14715,1515,6.8,10.8,38.8,49.6
14716,998,9.4,6.9,46,52.9
14717,958,12.6,16.1,12.8,28.9
14718,1035,8.6,3.9,35.1,39
14719,1806,5.3,1.9,49.2,51.1
14720,450,12,11.1,52.2,63.3
14721,99,25.3,0,8.1,8.1
14722,1176,0,6.3,39.5,45.8
14723,624,4.5,6.3,42.1,48.4
14724,1561,6.4,7.2,23.6,30.8
14726,790,4.6,2.9,30.3,33.2
14727,3574,7.3,5.2,26.8,32
14728,967,9.1,2.3,29.6,31.9
14729,491,3.1,2.4,37.1,39.5
14731,2684,3.5,1.5,19.4,20.9
14732,61,0,0,75.4,75.4
14733,1739,10.5,7,52.3,59.3
14735,1647,4.6,2.7,40.3,43
14736,156,0,0,26.3,26.3
14737,2556,4,2,30.1,32.1
14738,1905,10.4,5.5,28.8,34.3
14739,1766,7.9,1.5,34.3,35.8
14740,665,11,6.3,22.1,28.4
14741,1356,2.6,3.7,19.4,23.1
14742,85,8.2,36.5,34.1,70.6
14743,957,5.4,4.8,33.8,38.6
14744,546,8.6,3.3,27.8,31.1
14747,1049,10.9,5.1,26.3,31.4
14748,339,4.1,4.4,11.2,15.6
14750,2470,18.7,11,23.3,34.3
14752,293,0,14,67.9,81.9
14753,574,7.8,9.9,30,39.9
14754,376,8,4.3,22.9,27.2
14755,1694,7.5,6.2,37.4,43.6
14756,125,44.8,0,48.8,48.8
14757,2562,9.1,9.5,29.7,39.2
14760,9367,13.6,9.8,46.5,56.3
14767,768,4.9,5.1,36.1,41.2
14769,536,12.1,5.4,35.1,40.5
14770,1231,7.9,9.5,34,43.5
14772,1709,7,7.7,39.6,47.3
14774,31,16.1,16.1,32.3,48.4
14775,1227,9.5,3.4,43.8,47.2
14777,831,12.9,6,21.7,27.7
14779,3299,9.9,6.5,51.3,57.8
14781,927,8.1,0.6,51,51.6
14782,1113,5,3.4,38,41.4
14783,210,0,7.6,19.5,27.1
14784,497,8.9,3.6,23.1,26.7
14787,2563,11.8,3.4,42.9,46.3
14788,91,17.6,29.7,52.7,82.4
14801,2475,3.6,3.5,35.8,39.3
14802,445,6.7,7,25.2,32.2
14803,584,8.4,2.9,29.8,32.7
14804,906,7.8,2.5,27.7,30.2
14805,468,4.5,3.4,37.4,40.8
14806,1118,6.6,10.2,37.4,47.6
14807,1449,4.3,3,27.8,30.8
14808,240,1.3,10.8,61.7,72.5
14809,1181,4.7,4,39.5,43.5
14810,6137,10.2,7.3,27.5,34.8
14812,1388,19.3,2.6,16.9,19.5
14813,1393,6.2,4,39.6,43.6
14814,644,15.7,2.8,15.7,18.5
14815,702,9.4,5.4,22.2,27.6
14816,144,2.8,0,58.3,58.3
14817,885,10.6,0,30.2,30.2
14818,1179,5.7,4.4,37.7,42.1
14819,314,4.1,2.9,33.4,36.3
14820,411,5.6,4.6,23.4,28
14821,1467,8.2,6.7,16.8,23.5
14822,706,8.8,3.7,42.2,45.9
14823,2034,8.8,4,44.1,48.1
14824,279,6.5,7.2,17.9,25.1
14825,390,4.1,9.5,33.3,42.8
14826,1096,4,4.3,42.4,46.7
14827,113,13.3,11.5,75.2,86.7
14830,9534,11.8,9.1,42,51.1
14836,492,4.9,1,19.3,20.3
14837,3096,5.2,3.6,37.9,41.5
14838,897,4.9,2.5,17.1,19.6
14839,421,1.7,2.9,45.4,48.3
14840,2952,11.8,5.5,35.8,41.3
14841,595,9.6,12.8,35.6,48.4
14842,487,9.4,2.7,24.4,27.1
14843,6085,5.7,7.2,52.9,60.1
14845,9557,19.7,3.3,13.6,16.9
14846,485,4.9,7.2,30.1,37.3
14847,1308,10.9,4.9,37.9,42.8
14850,27180,9.3,2.3,27.2,29.5
14854,21,42.9,0,57.1,57.1
14855,400,2.3,3.8,45.5,49.3
14856,119,0,24.4,51.3,75.7
14858,660,5.9,1.5,25.8,27.3
14859,453,8.2,0,43.7,43.7
14860,896,11.2,2.8,33.6,36.4
14861,697,9,2.3,21.1,23.4
14864,610,11.5,2.8,25.6,28.4
14865,1266,6.9,4,38.5,42.5
14867,2663,6.4,1.3,20.1,21.4
14869,531,12.4,4.1,39.4,43.5
14870,4510,14,4.2,18.5,22.7
14871,2044,17.1,7.9,28.9,36.8
14872,307,27,1.3,16.6,17.9
14873,1768,2.7,1.4,25.1,26.5
14874,261,7.3,2.3,39.8,42.1
14877,322,2.5,2.5,33.5,36
14878,478,4,14,35.4,49.4
14879,1019,6.8,2.8,41.3,44.1
14880,1029,9.5,4.1,18.1,22.2
14881,113,0,0,25.7,25.7
14882,1835,12.9,1.6,13.9,15.5
14883,2111,9.4,4,26.7,30.7
14884,290,8.6,0.7,21.4,22.1
14885,414,2.2,2.9,41.3,44.2
14886,3475,5.8,4.2,36.4,40.6
14889,721,6.9,5.3,31.9,37.2
14891,2192,7.3,5.1,46.6,51.7
14892,3626,8,5.3,40.9,46.2
14893,22,0,45.5,0,45.5
14894,597,12.1,4.9,23.5,28.4
14895,5062,9.2,11.6,38,49.6
14897,414,6.5,10.9,43,53.9
14898,772,4,1.6,27.7,29.3
14901,6220,7.2,8,65.4,73.4
14903,3437,15,7.1,33.2,40.3
14904,7357,12.5,12.5,54.1,66.6
14905,4368,20.8,14.1,49.6,63.7
